area,height,caliper
101.51,36.5,1.1
79.54,33,1
20.62,22,0.3
53.07,26,0.5
43.02,24,0.5
31.88,24,0.4
26.78,21,0.4
29.93,26,0.4
18.9,16.5,0.36
54.3,34.5,0.89
51.3,23,0.47
35.5,20,0.47
13.3,17,0.37
25.1,19,0.51
18.7,17.5,0.42
21.5,16.5,0.33
14.8,16.5,0.31
21.2,19,0.48
21.6,16,0.39
20.7,17,0.4
30.9,17,0.46
32.5,19,0.44
11.18,17,0.37
186,51,0.7
163,41,0.73
130.5,37,0.65
139,44,0.69
132,43,0.66
171,36,0.7
155,40,0.62
93,41.5,0.59
161,45.5,0.8
87,36.5,0.53
127,41,0.64
140,39,0.64
