Name,Team,Position,Time,Shots,Passes,Tackles,Saves
Abdoun,Algeria,4,16,0,6,0,0
Abe,Japan,4,351,0,101,14,0
Abidal,France,1,180,0,91,6,0
Abou Diaby,France,4,270,1,111,5,0
Aboubakar,Cameroon,2,46,2,16,0,0
Abreu,Uruguay,2,72,0,15,0,0
Addy,Ghana,1,138,0,51,2,0
Adiyiah,Ghana,2,33,0,9,0,0
Afellay,Netherlands,4,21,5,22,0,0
Afolabi,Nigeria,1,103,0,38,1,0
Agger,Denmark,1,270,2,120,10,0
Aguilar,Mexico,1,55,0,31,2,0
Aguero,Argentina,2,106,2,57,2,0
Ahn Young-Hak,North Korea,4,270,1,123,11,0
Alcaraz,Paraguay,1,390,1,172,13,0
Alexandre Song,Cameroon,4,90,1,59,7,0
Almeida,Portugal,2,136,5,42,3,0
Alonso,Spain,4,506,9,465,18,0
Alou Diarra,France,4,82,0,31,0,0
Alvarez,Honduras,4,180,1,57,1,0
Amoah,Ghana,2,11,0,4,1,0
Amorim,Portugal,4,5,1,7,0,0
Anelka,France,2,117,7,37,1,0
Annan,Ghana,4,510,4,307,11,0
Appiah,Ghana,4,105,1,54,2,0
Arbeloa,Spain,1,13,0,12,0,0
Arevalo Rios,Uruguay,4,570,5,195,21,0
Asamoah,Ghana,4,480,11,214,9,0
ColeA,England,1,360,0,142,12,0
Assou-Ekotto,Cameroon,1,270,0,116,5,0
Avraam Papadopoulos,Greece,1,270,1,70,8,0
Ayew,Ghana,4,389,3,170,15,0
Ayila Yussuf,Nigeria,4,90,0,44,1,0
Badstuber,Germany,1,167,0,84,6,0
Baptista,Brazil,4,82,0,42,1,0
Barnetta,Switzerland,4,227,3,104,5,0
Barrera,Mexico,4,149,4,59,2,0
Barreto,Paraguay,4,111,2,38,3,0
Barrios,Paraguay,2,308,6,89,2,0
Barron,New Zealand,4,1,0,0,0,0
Barry,Ivory Coast,3,270,0,23,0,8
BarryG,England,4,264,2,171,8,0
Bassong,Cameroon,1,163,0,71,3,0
Bautista,Mexico,2,45,0,8,3,0
Beasley,USA,4,10,0,4,0,0
Beauchamp,Australia,1,90,0,33,2,0
Beausejour,Chile,4,360,2,100,7,0
Beckmann,Denmark,4,28,0,8,0,0
Behrami,Switzerland,4,31,0,4,1,0
Belhadj,Algeria,1,270,1,146,8,0
Benaglio,Switzerland,3,270,0,75,0,11
